Date,USD,CRUDE,GOLD
15-Jul-16,67.14099993,3072.061717,3099.958151
18-Jul-16,67.13700165,3059.969549,3101.592668
19-Jul-16,67.20399848,3051.623625,3106.159203
20-Jul-16,67.16300125,3073.290677,3090.215759
21-Jul-16,67.15300214,3073.907634,3086.372124
22-Jul-16,67.15399876,2999.887958,3090.779278
25-Jul-16,67.41200071,2956.051118,3082.148504
26-Jul-16,67.32099986,2905.686197,3090.932132
27-Jul-16,67.07200065,2875.029535,3092.624092
28-Jul-16,67.01400023,2812.993,3126.573057
29-Jul-16,66.65500204,2760.595093,3132.871339
01-Aug-16,66.76399968,2744.45917,3151.432641
02-Aug-16,66.68199908,2693.466011,3170.969143
03-Aug-16,66.76699966,2692.12617,3181.70393
04-Aug-16,66.84000061,2759.752239,3172.347283
05-Aug-16,66.84200215,2790.107023,3150.290929
08-Aug-16,66.81000084,2857.148506,3113.35411
09-Aug-16,66.77399919,2882.96295,3117.275003
10-Aug-16,66.76499816,2845.546347,3146.088625
11-Aug-16,66.75000182,2836.97088,3137.520668
12-Aug-16,66.90799936,2940.281313,3133.283619
16-Aug-16,66.87000051,3077.238598,3142.341799
17-Aug-16,66.89300137,3108.707221,3136.428361
18-Aug-16,66.82999918,3181.034299,3145.930267
19-Aug-16,67.13700165,3253.684469,3142.282554
22-Aug-16,67.20199778,3236.915253,3130.096188
23-Aug-16,67.12199994,3190.824925,3136.172615
24-Aug-16,67.16699811,3175.398024,3120.61164
25-Aug-16,67.01599873,3153.983373,3096.943626
26-Aug-16,67.13600102,3195.202672,3108.061067
29-Aug-16,67.11299943,3163.293467,3099.218377
30-Aug-16,67.14399782,3157.192217,3094.40408
31-Aug-16,66.97300117,3062.756367,3077.245004
01-Sep-16,66.80099902,2969.707996,3073.745297
02-Sep-16,66.79500213,2941.183762,3087.229674
05-Sep-16,66.46999966,3007.720125,3096.934035
06-Sep-16,66.279998,2973.379049,3111.571624
07-Sep-16,66.4780021,3000.435533,3135.572759
08-Sep-16,66.63100131,3107.423967,3130.203964
09-Sep-16,66.89500161,3120.435439,3121.85863
12-Sep-16,66.73800069,3052.35503,3110.565034
13-Sep-16,67.13999918,3032.448228,3110.458606
14-Sep-16,66.79800044,2982.109183,3105.320034
15-Sep-16,66.85999904,2939.213137,3098.747796
16-Sep-16,67.07500139,2904.470387,3086.838953
19-Sep-16,66.9799991,2944.304847,3092.604963
20-Sep-16,66.98500172,2947.092127,3095.227778
21-Sep-16,66.74400072,3036.989932,3111.629716
22-Sep-16,66.63299923,3090.754879,3127.795467
23-Sep-16,66.70700217,3057.579135,3128.656617
26-Sep-16,66.61299879,3034.315629,3130.223561
27-Sep-16,66.42499923,3005.208887,3112.142959
28-Sep-16,66.34900092,3018.27342,3097.250571
29-Sep-16,66.81200058,3170.813083,3109.878217
30-Sep-16,66.55600178,3191.340202,3112.259189
03-Oct-16,66.54600102,3227.441849,3090.760172
04-Oct-16,66.60900103,3248.579678,3047.944162
05-Oct-16,66.57200128,3308.034029,2997.835563
06-Oct-16,66.69700046,3341.145458,2976.597987
07-Oct-16,66.60200056,3354.130998,2963.586414
10-Oct-16,66.49200105,3364.776532,2971.512113
11-Oct-16,66.83400118,3402.427447,2970.699986
12-Oct-16,66.81200058,3369.187171,2967.103721
13-Oct-16,66.79399829,3351.486101,2979.498074
14-Oct-16,66.71699797,3377.317964,2963.120996
17-Oct-16,66.78900186,3344.422507,2967.279806
18-Oct-16,66.73299927,3352.238906,2977.067648
19-Oct-16,66.64499816,3433.800514,2988.848606
20-Oct-16,66.82999918,3422.794632,2996.102071
21-Oct-16,66.92600046,3399.621756,2990.260721
24-Oct-16,66.84500021,3377.879307,2981.194624
25-Oct-16,66.80600172,3378.055576,2986.304806
26-Oct-16,66.86299872,3314.625711,2991.27147
27-Oct-16,66.88099797,3323.157023,2990.117661
28-Oct-16,66.77799895,3307.779583,2992.273949
01-Nov-16,66.69599957,3138.772057,3017.811121
02-Nov-16,66.76199835,3057.371576,3049.412683
03-Nov-16,66.66800003,3030.880892,3040.631965
04-Nov-16,66.79600154,2967.204595,3052.02792
07-Nov-16,66.7449986,2984.868446,3018.813244
08-Nov-16,66.24600015,2997.595826,3004.22093
09-Nov-16,66.51499917,2984.679158,3060.340738
10-Nov-16,66.86500163,3012.911534,2999.814012
11-Nov-16,67.56500192,2972.235684,2966.364394
14-Nov-16,67.7850017,2910.467451,2938.998154
15-Nov-16,67.78599879,3038.215894,2931.382205
16-Nov-16,67.99899824,3112.204784,2937.38379
17-Nov-16,68.02299994,3123.493994,2928.935244
18-Nov-16,68.19099917,3098.757264,2890.925385
21-Nov-16,68.22800079,3252.377958,2907.838952
22-Nov-16,68.39600026,3308.369747,2916.242596
23-Nov-16,68.78399864,3305.979969,2895.41193
24-Nov-16,68.76099832,3311.345176,2870.741972
25-Nov-16,68.51900018,3241.501429,2853.579959
28-Nov-16,68.57900126,3205.378476,2874.92633
29-Nov-16,68.6149987,3162.252365,2863.778641
30-Nov-16,68.59800226,3293.194843,2846.610399
01-Dec-16,68.23599912,3452.339338,2806.001476
02-Dec-16,68.03100118,3481.008549,2808.704738
05-Dec-16,68.02499892,3543.361374,2796.764703
06-Dec-16,67.74199864,3466.691809,2793.163453
07-Dec-16,67.43800003,3425.900251,2791.097515
08-Dec-16,67.54599849,3391.928896,2783.236013
09-Dec-16,67.47000048,3470.12741,2767.760024
12-Dec-16,67.43100156,3611.36541,2754.441537
13-Dec-16,67.41100096,3576.45522,2755.428194
14-Dec-16,67.47499916,3533.808768,2761.302009
15-Dec-16,67.8570006,3452.062885,2709.5131
16-Dec-16,67.85500227,3483.55398,2711.57027
19-Dec-16,67.84399978,3549.602948,2722.23659
20-Dec-16,67.91700054,3639.995605,2710.071166
21-Dec-16,67.83699963,3627.931708,2709.212134
22-Dec-16,67.84799985,3589.518741,2695.781103
23-Dec-16,67.83699963,3584.682837,2696.050017
26-Dec-16,67.76000139,3612.205362,2696.988004
27-Dec-16,67.97799851,3647.746035,2721.673503
28-Dec-16,68.23300069,3693.73265,2727.709161
29-Dec-16,67.93499952,3673.854214,2744.387727
30-Dec-16,67.9549983,3659.877163,2754.198776
02-Jan-17,68.14499975,3677.449128,2752.333979
03-Jan-17,68.2600007,3697.97925,2760.829353
04-Jan-17,67.88599877,3594.170583,2772.271738
05-Jan-17,67.74299905,3631.346528,2788.210331
06-Jan-17,68.11500046,3673.900144,2788.591315
09-Jan-17,68.09999913,3618.817166,2794.271743
10-Jan-17,68.32699908,3546.354702,2811.681976
11-Jan-17,68.31200223,3533.773109,2821.423634
12-Jan-17,68.14100172,3601.894497,2842.637285
13-Jan-17,68.17999902,3598.182095,2834.169886
16-Jan-17,68.10299979,3573.186495,2853.922002
17-Jan-17,67.86200153,3600.722178,2870.049881
18-Jan-17,68.21999968,3540.336989,2875.290045
19-Jan-17,68.09999913,3529.386509,2856.35124
20-Jan-17,68.07500231,3620.082078,2861.467761
23-Jan-17,68.05100096,3606.641817,2878.874245
24-Jan-17,68.13799771,3633.169759,2874.504867
25-Jan-17,67.98799985,3618.146796,2849.790398
27-Jan-17,68.10499884,3644.434813,2819.625723
01-Feb-17,67.41500013,3594.08462,2880.441514
02-Feb-17,67.21000128,3630.983776,2893.845081
03-Feb-17,67.18400139,3621.118743,2884.745753
06-Feb-17,67.19499854,3610.686234,2907.238734
07-Feb-17,67.34999976,3542.224869,2927.871876
08-Feb-17,67.05000046,3493.961457,2933.635302
09-Feb-17,66.76499816,3538.382291,2923.77998
10-Feb-17,66.85400049,3588.652853,2903.465577
13-Feb-17,66.97500171,3576.281771,2907.162667
14-Feb-17,66.83500176,3567.753693,2907.517678
15-Feb-17,66.87500013,3552.064725,2901.755272
16-Feb-17,67.08000021,3568.91201,2931.193171
17-Feb-17,67.08000021,3576.572525,2938.005153
20-Feb-17,66.90500012,3627.30339,2925.148378
21-Feb-17,66.98500172,3662.97902,2919.111422
22-Feb-17,66.94999906,3621.877096,2925.38798
23-Feb-17,66.68999927,3641.367688,2935.236932
24-Feb-17,66.64499816,3613.060568,2959.718235
27-Feb-17,66.69999888,3634.601844,2964.060763
28-Feb-17,66.72500211,3592.484982,2956.541792
01-Mar-17,66.86500163,3622.865835,2937.789372
02-Mar-17,66.78500078,3560.20501,2929.304173
03-Mar-17,66.78000123,3541.733497,2906.520488
06-Mar-17,66.67500104,3551.590376,2906.841542
07-Mar-17,66.62499939,3563.942161,2884.795684
08-Mar-17,66.76499816,3496.306269,2867.342404
09-Mar-17,66.68999927,3318.698555,2850.107164
10-Mar-17,66.55500069,3291.315258,2833.61575
13-Mar-17,66.180001,3206.184223,2826.447636
14-Mar-17,65.77499886,3160.424245,2815.949538
15-Mar-17,65.63000142,3190.264235,2797.327992
16-Mar-17,65.38499864,3209.905278,2843.809453
17-Mar-17,65.47499984,3204.661692,2849.18143
20-Mar-17,65.34499872,3176.089657,2854.101201
21-Mar-17,65.34499872,3205.268295,2858.147292
22-Mar-17,65.45499864,3140.510812,2886.744359
23-Mar-17,65.45499864,3157.863772,2885.536537
24-Mar-17,65.42500048,3144.123867,2877.888321
